LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
1.07603,0.000751644,-0.000428727,0.000607998,5.75143e-06
1.07949,0.000745967,-0.000428111,0.000601551,5.17308e-06
1.08295,0.000740136,-0.000427348,0.000595009,5.12661e-06
1.08641,0.000733482,-0.000426178,0.000587649,5.31927e-06
1.08987,0.000726277,-0.000424728,0.000579775,5.51953e-06
1.09333,0.000718364,-0.000422934,0.000571172,5.60191e-06
1.09679,0.000710503,-0.000421196,0.00056254,5.21532e-06
1.10025,0.000703766,-0.000420008,0.000554924,4.34013e-06
1.10371,0.000698542,-0.000419485,0.000548786,3.51445e-06
1.10717,0.000693927,-0.0004192,0.000543266,2.96331e-06
1.11063,0.000689194,-0.000418817,0.000537632,2.80515e-06
1.11409,0.000684126,-0.000418279,0.000531633,2.54871e-06
1.11755,0.000679939,-0.000418156,0.000526486,2.13155e-06
1.12101,0.00067634,-0.000418216,0.000521982,2.1783e-06
1.12447,0.00067188,-0.000417757,0.000516727,2.75333e-06
1.12793,0.000666126,-0.000416625,0.000510254,3.50494e-06
1.13139,0.000659535,-0.00041507,0.000502916,3.85272e-06
1.13485,0.000653843,-0.000413938,0.000496452,3.76228e-06
1.13831,0.000648762,-0.000413002,0.00049067,4.07169e-06
1.14177,0.000642544,-0.000411406,0.000483869,4.82176e-06
1.14523,0.000635207,-0.000409227,0.000475966,5.36957e-06
1.14869,0.000627855,-0.000407018,0.000468007,5.4987e-06
1.15215,0.00062053,-0.000404811,0.000460061,5.42197e-06
1.15561,0.000613555,-0.000402807,0.000452354,4.76373e-06
1.15907,0.000608521,-0.000401816,0.000446466,3.77978e-06
1.16253,0.000604532,-0.000401322,0.000441627,3.30251e-06
1.16599,0.000600372,-0.000400693,0.000436656,3.25844e-06
1.16945,0.000595723,-0.000399772,0.000431215,3.45568e-06
1.17291,0.000590648,-0.00039858,0.000425389,3.66551e-06
1.17637,0.000585141,-0.000397125,0.000419151,3.91485e-06
1.17983,0.000579103,-0.000395363,0.000412374,3.92398e-06
1.18329,0.000573334,-0.000393756,0.000405793,3.48376e-06
1.18675,0.000568621,-0.000392731,0.000400177,2.69266e-06
1.19021,0.000564884,-0.000392223,0.000395478,2.10233e-06
1.19367,0.000561496,-0.000391892,0.000391112,1.72961e-06
1.19713,0.000557973,-0.000391464,0.00038661,1.65838e-06
1.20059,0.00055414,-0.000390865,0.000381775,1.46823e-06
1.20405,0.000550917,-0.000390595,0.000377511,1.04239e-06
1.20751,0.000548467,-0.000390709,0.000374027,9.45725e-07
1.21097,0.000545621,-0.000390549,0.000370227,1.37468e-06
1.21443,0.000541919,-0.000389858,0.000365642,2.02629e-06
1.21789,0.000537343,-0.000388622,0.000360228,2.54637e-06
1.22135,0.000532756,-0.000387342,0.000354793,2.56884e-06
1.22481,0.000529027,-0.000386503,0.000350251,2.53857e-06
1.22827,0.000525348,-0.000385645,0.000345807,3.02939e-06
1.23173,0.000520727,-0.000384185,0.000340484,3.74092e-06
1.23519,0.000515413,-0.000382278,0.000334513,4.18515e-06
1.23865,0.000510068,-0.000380306,0.00032854,4.35768e-06
1.24211,0.00050465,-0.000378252,0.000322476,4.40516e-06
1.24557,0.000499335,-0.000376279,0.00031643,3.96978e-06
1.24903,0.000495188,-0.000374995,0.00031148,3.1683e-06
1.25249,0.000492016,-0.0003743,0.000307457,2.69227e-06
1.25595,0.000488978,-0.000373683,0.000303522,2.58157e-06
1.2594,0.000485789,-0.000372961,0.000299431,2.69029e-06
1.26286,0.000482307,-0.00037202,0.000295073,2.86641e-06
1.26632,0.000478589,-0.000370892,0.000290526,3.09977e-06
1.26978,0.000474456,-0.000369461,0.000285593,3.33765e-06
1.27324,0.000470075,-0.000367856,0.000280393,3.29718e-06
1.2767,0.000465884,-0.000366354,0.000275361,2.91596e-06
1.28016,0.00046239,-0.000365278,0.000270974,2.31895e-06
1.28362,0.00045943,-0.000364543,0.000267068,1.87856e-06
1.28708,0.000456807,-0.000364014,0.000263431,1.56834e-06
