LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0.979153,0.000238612,-0.000119566,0.000205543,1.00991e-06
0.982613,0.00023715,-0.000119725,0.000203759,1.04884e-06
0.986073,0.000235584,-0.000119832,0.000201866,1.10804e-06
0.989532,0.000233921,-0.00011991,0.000199868,1.13417e-06
0.992992,0.000232276,-0.000119996,0.000197882,1.09854e-06
0.996452,0.000230796,-0.000120146,0.00019605,9.98183e-07
0.999912,0.000229559,-0.000120381,0.000194458,8.86865e-07
1.00337,0.000228451,-0.000120645,0.000192983,8.20419e-07
1.00683,0.000227301,-0.000120885,0.000191481,8.18416e-07
1.01029,0.000226051,-0.000121081,0.000189871,8.35452e-07
1.01375,0.00022471,-0.000121242,0.000188177,8.45455e-07
1.01721,0.00022335,-0.000121395,0.000186449,8.1484e-07
1.02067,0.000222091,-0.000121591,0.000184811,7.30333e-07
1.02413,0.00022102,-0.000121858,0.000183346,6.26537e-07
1.02759,0.000220065,-0.00012216,0.000182,5.50062e-07
1.03105,0.000219116,-0.000122458,0.000180664,5.18558e-07
1.03451,0.000218156,-0.000122746,0.000179303,4.87717e-07
1.03797,0.00021727,-0.000123063,0.000178025,4.56559e-07
1.04143,0.000216409,-0.000123371,0.000176773,4.72882e-07
1.04489,0.000215435,-0.00012362,0.000175408,5.40927e-07
1.04835,0.000214296,-0.000123796,0.00017389,6.13775e-07
1.05181,0.000213141,-0.000123967,0.000172342,6.31591e-07
1.05527,0.000212083,-0.000124168,0.000170893,6.44433e-07
1.05873,0.000210965,-0.000124327,0.000169388,7.02101e-07
1.06219,0.000209719,-0.000124422,0.000167758,7.65714e-07
1.06565,0.000208418,-0.000124499,0.000166076,7.84906e-07
1.06911,0.00020714,-0.00012458,0.000164394,7.64323e-07
1.07257,0.000205949,-0.000124702,0.000162786,6.81553e-07
1.07603,0.000204989,-0.000124926,0.000161402,5.75143e-07
1.07949,0.000204134,-0.000125182,0.000160127,5.17308e-07
1.08295,0.000203263,-0.000125421,0.000158843,5.12661e-07
1.08641,0.000202318,-0.000125619,0.000157468,5.31927e-07
1.08987,0.00020131,-0.000125788,0.000156051,5.51953e-07
1.09333,0.000200239,-0.000125921,0.000154551,5.60191e-07
1.09679,0.000199174,-0.000126059,0.000153049,5.21532e-07
1.10025,0.000198222,-0.00012625,0.000151648,4.34013e-07
1.10371,0.00019742,-0.000126505,0.000150396,3.51445e-07
1.10717,0.00019668,-0.000126784,0.000149205,2.96331e-07
1.11063,0.000195936,-0.00012705,0.000147993,2.80515e-07
1.11409,0.00019516,-0.000127301,0.000146745,2.54871e-07
1.11755,0.000194462,-0.00012759,0.000145592,2.13155e-07
1.12101,0.000193832,-0.000127898,0.000144493,2.1783e-07
1.12447,0.000193125,-0.000128151,0.00014332,2.75333e-07
1.12793,0.00019228,-0.000128335,0.000142024,3.50494e-07
1.13139,0.00019136,-0.000128476,0.000140634,3.85272e-07
1.13485,0.00019052,-0.000128658,0.000139336,3.76228e-07
1.13831,0.000189751,-0.000128858,0.000138104,4.07169e-07
1.14177,0.000188868,-0.00012899,0.000136769,4.82176e-07
1.14523,0.000187874,-0.000129061,0.000135322,5.36957e-07
1.14869,0.000186887,-0.000129129,0.000133868,5.4987e-07
1.15215,0.000185893,-0.000129195,0.000132415,5.42197e-07
1.15561,0.000184944,-0.000129279,0.000130985,4.76373e-07
1.15907,0.000184188,-0.000129463,0.000129734,3.77978e-07
1.16253,0.000183537,-0.000129696,0.000128588,3.30251e-07
1.16599,0.000182869,-0.000129914,0.000127427,3.25844e-07
1.16945,0.000182161,-0.000130103,0.000126218,3.45568e-07
1.17291,0.000181402,-0.000130254,0.000124969,3.66551e-07
1.17637,0.000180608,-0.000130388,0.000123677,3.91485e-07
1.17983,0.000179761,-0.000130481,0.000122331,3.92398e-07
1.18329,0.000178941,-0.000130591,0.000121003,3.48376e-07
1.18675,0.000178227,-0.000130758,0.00011977,2.69266e-07
1.19021,0.000177619,-0.000130977,0.000118628,2.10233e-07
1.19367,0.000177047,-0.000131214,0.000117518,1.72961e-07
1.19713,0.00017646,-0.000131432,0.000116393,1.65838e-07
1.20059,0.000175843,-0.000131634,0.000115235,1.46823e-07
1.20405,0.000175287,-0.000131867,0.000114131,1.04239e-07
1.20751,0.000174817,-0.00013214,0.000113104,9.45725e-08
1.21097,0.000174298,-0.000132376,0.000112046,1.37468e-07
1.21443,0.000173703,-0.000132568,0.000110907,2.02629e-07
1.21789,0.00017302,-0.000132696,0.000109684,2.54637e-07
1.22135,0.000172346,-0.00013282,0.000108458,2.56884e-07
1.22481,0.000171748,-0.000132979,0.00010732,2.53857e-07
1.22827,0.000171164,-0.000133145,0.000106191,3.02939e-07
1.23173,0.000170486,-0.000133243,0.000104973,3.74092e-07
1.23519,0.000169738,-0.000133295,0.000103689,4.18515e-07
1.23865,0.000168988,-0.000133341,0.000102403,4.35768e-07
1.24211,0.000168239,-0.000133369,0.000101108,4.40516e-07
1.24557,0.0001675,-0.000133415,9.98135e-05,3.96978e-07
1.24903,0.000166879,-0.000133521,9.86273e-05,3.1683e-07
1.25249,0.000166355,-0.000133685,9.75329e-05,2.69227e-07
1.25595,0.000165844,-0.000133848,9.64464e-05,2.58157e-07
1.2594,0.000165327,-0.00013401,9.53434e-05,2.69029e-07
1.26286,0.000164781,-0.000134141,9.42119e-05,2.86641e-07
1.26632,0.000164211,-0.000134253,9.30615e-05,3.09977e-07
1.26978,0.0001636,-0.000134326,9.18707e-05,3.33765e-07
1.27324,0.000162972,-0.000134391,9.06523e-05,3.29718e-07
1.2767,0.000162355,-0.000134456,8.94498e-05,2.91596e-07
1.28016,0.000161817,-0.000134565,8.83118e-05,2.31895e-07
1.28362,0.000161332,-0.000134707,8.72201e-05,1.87856e-07
1.28708,0.00016089,-0.000134861,8.61544e-05,1.56834e-07
1.29054,0.000160437,-0.000135026,8.50836e-05,1.48936e-07
1.294,0.000159978,-0.000135169,8.39918e-05,1.33347e-07
1.29746,0.00015955,-0.000135332,8.29268e-05,9.61171e-08
1.30092,0.000159176,-0.000135518,8.19171e-05,7.17054e-08
1.30438,0.000158816,-0.000135704,8.09133e-05,8.7669e-08
1.30784,0.000158425,-0.000135867,7.9878e-05,1.27873e-07
1.3113,0.000157984,-0.000135995,7.87958e-05,1.76821e-07
1.31476,0.0001575,-0.000136091,7.7672e-05,2.0319e-07
1.31822,0.000157037,-0.000136186,7.65732e-05,1.9698e-07
1.32168,0.000156623,-0.000136303,7.55205e-05,2.05261e-07
1.32514,0.000156189,-0.000136403,7.4454e-05,2.51148e-07
1.3286,0.000155709,-0.000136459,7.33406e-05,3.04821e-07
1.33206,0.000155199,-0.000136492,7.21973e-05,3.41247e-07
1.33552,0.000154689,-0.000136513,7.10498e-05,3.64495e-07
1.33898,0.000154148,-0.000136514,6.98853e-05,3.82523e-07
1.34244,0.000153602,-0.000136504,6.87039e-05,3.68218e-07
