LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
5.99214,0.495016,0.247366,0.24765,8,0.144673
1.15523,0.768214,0.413646,0.354568,3,0.14463
3.34546,0.768214,0.393495,0.374719,3,0.0497216
3.84213,0.838793,0.0930776,0.745715,2,0.0790245
2.76515,0.590152,0.26875,0.321402,6,0.116722
0.115701,0.915856,0.623722,0.292134,1,0.0805047
0.584761,0.768214,0.735917,0.0322968,3,0.108099
0.5089,0.838793,0.462079,0.376714,2,0.121835
0.686217,0.838793,0.4695,0.369293,2,0.0210091
0.786688,0.915856,0.686394,0.229462,1,0.158021
0.804138,0.838793,0.435068,0.403725,2,0.0821829
0.374352,0.915856,0.907972,0.00788451,1,0.125601
0.626628,0.915856,0.880059,0.035797,1,0.0986925
1.10334,0.838793,0.0677515,0.771041,2,0.0717393
0.200851,0.915856,0.7528,0.163056,1,0.140763
1.61114,0.768214,0.641614,0.1266,3,0.124138
3.00446,0.644372,0.248073,0.396299,5,0.128239
1.02602,0.915856,0.735504,0.180352,1,0.0778849
0.61129,0.915856,0.617121,0.298736,1,0.167013
0.38657,0.838793,0.433997,0.404796,2,0.0934707
4.55814,0.495016,0.247124,0.247892,8,0.165836
0.156039,0.915856,0.90744,0.00841669,1,0.123804
3.45736,0.838793,0.398169,0.440624,2,0.0394496
0.745678,0.703573,0.495854,0.207719,4,0.145588
0.141906,0.915856,0.826272,0.0895846,1,0.104812
0.0685022,0.838793,0.191809,0.646984,2,0.0601965
0.333561,0.915856,0.475186,0.440671,1,0.154887
0.843738,0.915856,0.512032,0.403824,1,0.132593
0.61168,0.915856,0.58225,0.333606,1,0.0815168
0.365496,0.915856,0.909601,0.00625572,1,0.102036
0.267675,0.915856,0.775491,0.140365,1,0.141079
0.454065,0.838793,0.059735,0.779058,2,0.110514
1.05722,0.915856,0.473002,0.442855,1,0.111982
0.675747,0.838793,0.424296,0.414496,2,0.151233
1.25977,0.768214,0.630077,0.138137,3,0.0435282
0.825321,0.768214,0.379021,0.389192,3,0.164482
0.420086,0.915856,0.746741,0.169116,1,0.12021
1.51768,0.768214,0.216702,0.551512,3,0.0608003
